market;date;type;isin;description;issuer;issue_date;expiration_date;currency;last_price;last_price_date;nominal_price
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000128X2;BON TESORO PÚBLICO-  0,050 01/2021;TESORO PÚBLICO;06/06/2017;31/01/2021;EUR;100,6050;07/11/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES0000012C46;BON TESORO PÚBLICO-  0,050 10/2021;TESORO PÚBLICO;09/10/2018;31/10/2021;EUR;100,8958;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES0000012E85;BON TESORO PÚBLICO-  0,250 07/2024;TESORO PÚBLICO;16/04/2019;30/07/2024;EUR;102,0500;30/10/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES0000012B62;BON TESORO PÚBLICO-  0,350 07/2023;TESORO PÚBLICO;22/05/2018;30/07/2023;EUR;102,2300;30/10/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000128O1;BON TESORO PÚBLICO-  0,400 04/2022;TESORO PÚBLICO;24/01/2017;30/04/2022;EUR;102,0015;06/11/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES0000012A97;BON TESORO PÚBLICO-  0,450 10/2022;TESORO PÚBLICO;10/10/2017;31/10/2022;EUR;102,3500;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000128B8;BON TESORO PÚBLICO-  0,750 07/2021;TESORO PÚBLICO;08/03/2016;30/07/2021;EUR;102,3250;02/10/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000127H7;BON TESORO PÚBLICO-  1,150 07/2020;TESORO PÚBLICO;16/06/2015;30/07/2020;EUR;101,3550;01/10/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000126C0;BON TESORO PÚBLICO-  1,400 01/2020;TESORO PÚBLICO;08/07/2014;31/01/2020;EUR;100,4475;05/11/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES0000012B70;BON TESORO PÚBLICO-IDX 0,150 11/2023;TESORO PÚBLICO;30/11/2017;30/11/2023;EUR;;;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000128D4;BON TESORO PÚBLICO-IDX 0,300 11/2021;TESORO PÚBLICO;10/05/2016;30/11/2021;EUR;103,3800;02/07/2019;1.000,00
SDP;08/11/2019 17:30:00;BONO DEL TESORO;ES00000126W8;BON TESORO PÚBLICO-IDX 0,550 11/2019;TESORO PÚBLICO;14/10/2014;30/11/2019;EUR;101,4300;22/02/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012F43;OBL TESORO PÚBLICO-  0,600 10/2029;TESORO PÚBLICO;19/06/2019;31/10/2029;EUR;102,1000;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000128H5;OBL TESORO PÚBLICO-  1,300 10/2026;TESORO PÚBLICO;26/07/2016;31/10/2026;EUR;108,6200;06/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012B39;OBL TESORO PÚBLICO-  1,400 04/2028;TESORO PÚBLICO;30/01/2018;30/04/2028;EUR;110,8420;31/10/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012B88;OBL TESORO PÚBLICO-  1,400 07/2028;TESORO PÚBLICO;03/07/2018;30/07/2028;EUR;109,6600;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012E51;OBL TESORO PÚBLICO-  1,450 04/2029;TESORO PÚBLICO;29/01/2019;30/04/2029;EUR;110,9500;06/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012A89;OBL TESORO PÚBLICO-  1,450 10/2027;TESORO PÚBLICO;04/07/2017;31/10/2027;EUR;110,9300;22/10/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000128P8;OBL TESORO PÚBLICO-  1,500 04/2027;TESORO PÚBLICO;31/01/2017;30/04/2027;EUR;111,3215;01/10/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000126Z1;OBL TESORO PÚBLICO-  1,600 04/2025;TESORO PÚBLICO;27/01/2015;30/04/2025;EUR;109,0800;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES0000012E69;OBL TESORO PÚBLICO-  1,850 07/2035;TESORO PÚBLICO;05/03/2019;30/07/2035;EUR;115,7200;08/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000127Z9;OBL TESORO PÚBLICO-  1,950 04/2026;TESORO PÚBLICO;19/01/2016;30/04/2026;EUR;112,6500;28/10/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000127A2;OBL TESORO PÚBLICO-  1,950 07/2030;TESORO PÚBLICO;04/03/2015;30/07/2030;EUR;116,6000;07/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000127G9;OBL TESORO PÚBLICO-  2,150 10/2025;TESORO PÚBLICO;09/06/2015;31/10/2025;EUR;113,0000;01/11/2019;1.000,00
SDP;08/11/2019 17:30:00;OBLIGACION DEL TESORO;ES00000128Q6;OBL TESORO PÚBLICO-  2,350 07/2033;TESORO PÚBLICO;01/03/2017;30/07/2033;EUR;122,0000;29/10/2019;1.000,00
